"http://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml","BBC News","National"
"https://abcnews.go.com/abcnews/usheadlines","ABC News","National"
"http://feeds.foxnews.com/foxnews/national","Fox News","National"
"https://rss.nytimes.com/services/xml/rss/nyt/US.xml","New York Times","National"
"http://feeds.washingtonpost.com/rss/national","Washington Post","National"
"https://www.cbsnews.com/latest/rss/us","CBS News","National"
"https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml","Wall Street Journal","National"
"https://www.latimes.com/nation/rss2.0.xml","LA Times","National"
"https://www.techmeme.com/feed.xml","Techmeme","World"
"https://www.theguardian.com/world/rss","The Guardian","World"
"https://www.theguardian.com/travel/offers/unitedstates/rss","The Guardian: US","National"
"https://feeds.feedburner.com/time/world?format=xml","Time","World"
"http://rss.cnn.com/rss/cnn_world.rss","CNN","World"
"https://news.yahoo.com/rss","Yahoo News","World"